ID,HQ_Hg,Hg
3,0.0271,14.5
4,0.0151,8.1
10,0.0648,34.7
11-1A,0.0422,22.599999999999998
11-2A,0.0504,27
1 NY,0.0177,9.5
103-1,0,0
103-2,0.0491,26.3
119-4,0.017,9.1
122-1,0,0
123-1,0.0119,6.4
128-1,0,0
131-1,0.0142,7.6
132-1,0.0144,7.7
136-1,0.163,87.4
138-1,0,0
138-3,0,0
142-1,0.0108,5.8
148-1,0,0
150-1,0.114,61
161-1,0.23,123
177-1,0.0771,41.300000000000004
184-1,0.0258,13.799999999999999
184-2,0.0315,16.9
190-1A,0.0222,11.9
190-1B,0.0151,8.1
197-1,0.282,151
205-1,0.0121,6.5
206-1,0,0
209-1,0.0282,15.100000000000001
209-2,0,0
210-1,0,0
21-1,0.0168,9
213-2,0,0
216-1,0.00803,4.3
219-01,0.19,102
26-2,0.0302,16.2
34-1,0.0265,14.200000000000001
37-2,0.0726,38.9
41-1,0.245,131
46-1,0.0457,24.5
49-1,0,0
53-1,0.0144,7.7
57-1,0.0538,28.8
58-1,0,0
62-3,0.0252,13.5
64-1,0.0084,4.5
69-1,0.0144,7.7
70-1,0,0
72-1,0.00765,4.1000000000000005
74-1,0.0118,6.3
77-1,0.0153,8.200000000000001
82-1,0.0523,28
84-1,0.0911,48.800000000000004
86-1,0.0373,20
87-1,0.00933,5
89-1,0.0564,30.200000000000003
94-3,0,0
95-1,0.0724,38.800000000000004
98-1,0,0
998-1,0.302,162
999-1,0.0282,15.100000000000001
NJ_MALL_60_AD,0,0
NJ_MALL_10_AD,0.0317,17
NJ_ABDU_02_LC,0.0452,24.2
NJ_AGWT_01_LC,0.0084,4.5
NJ_ABDU_30_AD,0.0239,12.8
CTABD01,0.218,117
CTABD02,0.317,170
CTAGWT1,0.155,83.2
CTAGWT2,0.0599,32.099999999999994
CTAGWT3,0.194,104
CTCAG01,0,0
CTCAG02,0,0
CTCAG03,0,0
CTMALL1,0.0291,15.6
CTMALL2,0.0386,20.7
CTMALL3,0.0265,14.200000000000001
CTWOD01,0,0
CTWOD02,0.00877,4.7
MC-2,0.0347,18.599999999999998
NJ_CAGO_30_AD,0.168,90.2
NJ_WODU_03_AD,0.036,19.3
NJ_WODU_02_AD,0.0517,27.7
NJ_MALL_11_AD,0.0245,13.100000000000001
NJ_WODU_01_JK,0.0254,13.6
NJ_CAGO_01_AD,0.0457,24.5
NJ_MALL_01_AD,0.00952,5.1000000000000005
NJ_AGWT_02_AD,0,0
NJ_WODU_01_AD,0,0
NJ_MALL_30_AD,0.0114,6.1000000000000005
NJ_MALL_40_AD,0.203,109
NJ_WODU_11_AD,0.0258,13.799999999999999
NJ_WODU_03_LC,0.0758,40.599999999999994
NJ_ABDU_01_AD,0.0371,19.900000000000002
NJ_AGWT_01_AD,0.0461,24.7
NJ_WODU_01_TN,0.0291,15.6
NJ_AGWT_02_NJ,0.0147,7.9
1,0.0133,7.1000000000000005
2,0.0119,6.4
6,0.0149,8
7,0.0138,7.4
8,0.0345,18.5
